Transaction Date,Post Date,Description,Category,Type,Amount,Memo
10/16/2024,10/18/2024,SHELL SERVICE STATION AUSTIN TX,Gas,Sale,-37.37,
10/17/2024,10/18/2024,CVS/PHARMACY #4471,Shopping,Sale,-26.74,
10/17/2025,10/17/2025,Payment Thank You,Payment,Payment,1247.68,
10/18/2025,10/18/2025,TARGET 00021842 AUSTIN TX,Shopping,Sale,-54.76,
10/22/2024,10/24/2024,SAFEWAY #2214,Groceries,Sale,-115.57,
10/23/2024,10/23/2024,DD *WINGSTOP,Food & Drink,Sale,-30.07,
10/23/2024,10/24/2024,CHIPOTLE 2647,Food & Drink,Sale,-16.88,
10/24/2024,10/26/2024,LYFT   RIDE 855-865-9553,Travel,Sale,-9.5,
10/25/2025,10/25/2025,UBER TRIP 8005928996,Travel,Sale,-22.11,
10/26/2024,10/26/2024,UBER TRIP 8005928996,Travel,Sale,-21.06,
10/26/2025,10/28/2025,UBER *TRIP HELP.UBER.COM,Travel,Sale,-11.45,
10/26/2025,10/27/2025,SQ *STARBUCKS,Food & Drink,Sale,-11.25,
10/27/2025,10/29/2025,ALBERTSONS-SAFEWAY #2214,Groceries,Sale,-108.11,
10/27/2025,10/29/2025,AMAZON.COM*2A8RC77T,Shopping,Sale,-82.03,
10/27/2025,10/28/2025,TARGET.COM*8871029,Shopping,Sale,-40.34,
10/29/2025,10/29/2025,ALBERTSONS-SAFEWAY #2214,Groceries,Sale,-46.42,
10/30/2025,10/30/2025,UBER *EATS HELP.UBER.COM,Food & Drink,Sale,-32.81,
10/31/2025,10/31/2025,CVS/PHARMACY #4471,Shopping,Sale,-45.54,
11/01/2024,11/03/2024,LYFT   RIDE 855-865-9553,Travel,Sale,-33.78,
11/01/2024,11/01/2024,SFW_#22,Groceries,Sale,-130.19,
11/02/2024,11/02/2024,SQ *STARBUCKS,Food & Drink,Sale,-10.08,
11/02/2025,11/03/2025,UBER TRIP 8005928996,Travel,Sale,-9.98,
11/02/2025,11/02/2025,DOORDASH*PANDA EXPRESS,Food & Drink,Sale,-41.24,
11/03/2024,11/04/2024,UBER  EATS 8005928996,Food & Drink,Sale,-48.48,
11/03/2024,11/05/2024,COSTCO GAS #1147,Gas,Sale,-50.48,
11/03/2025,11/03/2025,DOORDASH*CHIPOTLE,Food & Drink,Sale,-24.37,
11/03/2025,11/05/2025,STARBUCKS STORE #05028,Food & Drink,Sale,-4.26,
11/04/2024,11/05/2024,UBER *TRIP HELP.UBER.COM,Travel,Sale,-9.9,
11/04/2025,11/05/2025,UBER *TRIP HELP.UBER.COM,Travel,Sale,-29.59,
11/06/2024,11/07/2024,Amazon Prime*Membership,Bills & Utilities,Sale,-14.99,
11/06/2025,11/07/2025,ALBERTSONS-SAFEWAY #2214,Groceries,Sale,-140.23,
11/06/2025,11/08/2025,AMZN PRIME MEMBERSHIP,Bills & Utilities,Sale,-14.99,
11/07/2024,11/08/2024,STARBUCKS STORE #05028,Food & Drink,Sale,-9.68,
11/08/2025,11/09/2025,ALBERTSONS-SAFEWAY #2214,Groceries,Sale,-106.72,
11/09/2024,11/10/2024,DOORDASH*CHIPOTLE,Food & Drink,Sale,-33.46,
11/10/2024,11/11/2024,AMZN Mktp US*2KJAPNU8,Shopping,Sale,-116.72,
11/10/2024,11/11/2024,DOORDASH*PANDA EXPRESS,Food & Drink,Sale,-50.21,
11/13/2024,11/14/2024,SAFEWAY STORE 2214 AUSTIN TX,Groceries,Sale,-103.88,
11/13/2025,11/14/2025,ALBERTSONS-SAFEWAY #2214,Groceries,Sale,-30.63,
11/14/2025,11/15/2025,COSTCO WHOLESALE #1147 AUSTIN TX,Groceries,Sale,-151.53,
11/16/2024,11/16/2024,CHIPOTLE 2647,Food & Drink,Sale,-14.07,
11/16/2025,11/17/2025,STARBUCKS 800-782-7282 WA,Food & Drink,Sale,-5.83,
11/17/2024,11/17/2024,Payment Thank You,Payment,Payment,1437.45,
11/17/2024,11/18/2024,STARBUCKS 800-782-7282 WA,Food & Drink,Sale,-10.83,
11/17/2025,11/18/2025,SQ *STARBUCKS,Food & Drink,Sale,-6.09,
11/17/2025,11/17/2025,Payment Thank You,Payment,Payment,1354.53,
11/18/2025,11/18/2025,COSTCO GAS #1147,Gas,Sale,-30.31,
11/21/2024,11/22/2024,COSTCO GAS #1147,Gas,Sale,-41.94,
11/22/2024,11/22/2024,CVS PHARM #04471 AUSTIN TX,Shopping,Sale,-10.35,
11/22/2025,11/24/2025,SQ *STARBUCKS,Food & Drink,Sale,-12.16,
11/22/2025,11/22/2025,UBER *TRIP HELP.UBER.COM,Travel,Sale,-23.64,
11/22/2025,11/23/2025,COSTCO WHOLESALE #1147 AUSTIN TX,Groceries,Sale,-229.4,
11/23/2024,11/24/2024,CVS PHARM #04471 AUSTIN TX,Shopping,Sale,-8.61,
11/23/2025,11/24/2025,CHIPOTLE 2647,Food & Drink,Sale,-14.97,
11/23/2025,11/25/2025,UBER *TRIP HELP.UBER.COM,Travel,Sale,-40.62,
11/25/2025,11/26/2025,CHIPOTLE ONLINE,Food & Drink,Sale,-10.05,
11/26/2024,11/27/2024,SQ *STARBUCKS,Food & Drink,Sale,-9.31,
11/26/2024,11/28/2024,AMZN Mktp US*2K9PDVDU,Shopping,Sale,-92.71,
11/26/2025,11/27/2025,STARBUCKS STORE #05028,Food & Drink,Sale,-9.99,
11/26/2025,11/28/2025,AMZN Mktp US*2KRYPJY7,Shopping,Sale,-44.38,
11/27/2025,11/28/2025,DOORDASH*PANDA EXPRESS,Food & Drink,Sale,-31.14,
11/29/2025,11/30/2025,COSTCO GAS #1147,Gas,Sale,-35.94,
12/01/2024,12/01/2024,STARBUCKS STORE #05028,Food & Drink,Sale,-11.46,
12/02/2024,12/03/2024,SHELL SERVICE STATION AUSTIN TX,Gas,Sale,-30.75,
12/03/2024,12/03/2024,AMAZON.COM*2A8VRER9,Shopping,Sale,-83.94,
12/03/2024,12/03/2024,DD *WINGSTOP,Food & Drink,Sale,-19.09,
12/03/2024,12/05/2024,UBER *EATS HELP.UBER.COM,Food & Drink,Sale,-40.99,
12/03/2025,12/03/2025,ALBERTSONS-SAFEWAY #2214,Groceries,Sale,-111.87,
12/03/2025,12/03/2025,CVS PHARM #04471 AUSTIN TX,Shopping,Sale,-46.73,
12/03/2025,12/05/2025,STARBUCKS 800-782-7282 WA,Food & Drink,Sale,-4.81,
12/04/2024,12/06/2024,DOORDASH*PANDA EXPRESS,Food & Drink,Sale,-25.53,
12/04/2024,12/06/2024,UBER *TRIP HELP.UBER.COM,Travel,Sale,-25.07,
12/04/2025,12/05/2025,SHELL SERVICE STATION AUSTIN TX,Gas,Sale,-50.51,
12/05/2024,12/06/2024,UBER *TRIP HELP.UBER.COM,Travel,Sale,-40.28,
12/06/2024,12/06/2024,AMZN PRIME MEMBERSHIP,Bills & Utilities,Sale,-14.99,
12/06/2025,12/07/2025,AMZN PRIME MEMBERSHIP,Bills & Utilities,Sale,-14.99,
12/06/2025,12/07/2025,STARBUCKS STORE #05028,Food & Drink,Sale,-6.15,
12/06/2025,12/07/2025,SHELL OIL 57443982,Gas,Sale,-34.48,
12/08/2024,12/09/2024,SAFEWAY #2214,Groceries,Sale,-105.64,
12/08/2025,12/08/2025,SHELL OIL 57443982,Gas,Sale,-56.46,
12/10/2024,12/11/2024,AMZN Mktp US*2K1KXD4S,Shopping,Sale,-150.69,
12/10/2024,12/11/2024,SQ *STARBUCKS,Food & Drink,Sale,-10.62,
12/11/2024,12/11/2024,UBER  EATS 8005928996,Food & Drink,Sale,-36.91,
12/12/2024,12/14/2024,AMZN Mktp US*2K330ISM,Shopping,Sale,-13.52,
12/13/2025,12/14/2025,DD *WINGSTOP,Food & Drink,Sale,-37.96,
12/14/2024,12/15/2024,COSTCO WHSE #1147,Groceries,Sale,-195.37,
12/14/2025,12/15/2025,ALBERTSONS-SAFEWAY #2214,Groceries,Sale,-79.6,
12/14/2025,12/14/2025,STARBUCKS 800-782-7282 WA,Food & Drink,Sale,-4.72,
12/14/2025,12/15/2025,CHIPOTLE 2647,Food & Drink,Sale,-18.72,
12/15/2024,12/17/2024,SFW_#22,Groceries,Sale,-50.92,
12/16/2024,12/18/2024,AMAZON.COM*2AQ798NH,Shopping,Sale,-44.39,
12/16/2024,12/18/2024,CVS/PHARMACY #4471,Shopping,Sale,-20.18,
12/16/2025,12/16/2025,COSTCO WHSE #1147,Groceries,Sale,-100.14,
12/17/2024,12/17/2024,Payment Thank You,Payment,Payment,1190.86,
12/17/2025,12/17/2025,Payment Thank You,Payment,Payment,1346.78,
12/18/2024,12/19/2024,UBER TRIP 8005928996,Travel,Sale,-28.84,
12/19/2024,12/20/2024,AMZN Mktp US*2KRX2DX6,Shopping,Sale,-131.04,
12/24/2025,12/24/2025,DOORDASH*COSTCO,Groceries,Sale,-61.68,
12/26/2024,12/27/2024,AMZN Mktp US*2KRG2L28,Shopping,Sale,-70.75,
12/26/2024,12/26/2024,UBER TRIP 8005928996,Travel,Sale,-33.02,
12/28/2024,12/30/2024,COSTCO WHSE #1147,Groceries,Sale,-184.59,
12/29/2024,12/30/2024,SAFEWAY #2214,Groceries,Sale,-144.13,
12/30/2024,12/31/2024,COSTCO WHSE #1147,Groceries,Sale,-89.94,
12/30/2024,12/31/2024,AMAZON.COM*2A3F39XM,Shopping,Sale,-94.59,
12/30/2025,12/31/2025,SHELL OIL 57443982,Gas,Sale,-31.89,
