Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,Country,Category
07/09/2025,UBER TRIP 8005928996,17.35,UBER TRIP 8005928996,UBER TRIP 8005928996,"AUSTIN, TX",US,Transportation-Taxis & Coach
07/10/2025,COSTCO WHSE #1147,79.09,COSTCO WHSE #1147,COSTCO WHSE #1147,"DENVER, CO",US,Merchandise & Supplies-Wholesale Stores
07/11/2025,STARBUCKS 800-782-7282 WA,4.38,STARBUCKS 800-782-7282 WA,STARBUCKS 800-782-7282 WA,"AUSTIN, TX",US,Restaurant-Restaurant
07/11/2025,SPOTIFY P0A1B2C3,11.99,SPOTIFY P0A1B2C3,SPOTIFY P0A1B2C3,"AUSTIN, TX",US,Business Services-Internet Services
07/11/2026,SHELL SERVICE STATION AUSTIN TX,29.02,SHELL SERVICE STATION AUSTIN TX,SHELL SERVICE STATION AUSTIN TX,"AUSTIN, TX",US,Travel-Fuel
07/11/2026,SPOTIFY P0A1B2C3,11.99,SPOTIFY P0A1B2C3,SPOTIFY P0A1B2C3,"AUSTIN, TX",US,Business Services-Internet Services
07/13/2025,UBER *TRIP HELP.UBER.COM,36.46,UBER *TRIP HELP.UBER.COM,UBER *TRIP HELP.UBER.COM,"AUSTIN, TX",US,Transportation-Taxis & Coach
07/13/2026,AMAZON.COM*2ARS1HPP,95.43,AMAZON.COM*2ARS1HPP,AMAZON.COM*2ARS1HPP,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
07/15/2025,COSTCO WHSE #1147,220.88,COSTCO WHSE #1147,COSTCO WHSE #1147,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
07/15/2025,SQ *JOE'S DINER AUSTIN TX,16.18,SQ *JOE'S DINER AUSTIN TX,SQ *JOE'S DINER AUSTIN TX,"AUSTIN, TX",US,Restaurant-Restaurant
07/19/2025,ONLINE PAYMENT - THANK YOU,-1205.27,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,Fees & Adjustments-Payments and Credits
07/19/2025,SQ *STARBUCKS,6.96,SQ *STARBUCKS,SQ *STARBUCKS,"AUSTIN, TX",US,Restaurant-Restaurant
07/20/2025,COSTCO WHSE #1147,127.61,COSTCO WHSE #1147,COSTCO WHSE #1147,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
07/24/2025,DOORDASH*PANDA EXPRESS,49.18,DOORDASH*PANDA EXPRESS,DOORDASH*PANDA EXPRESS,"AUSTIN, TX",US,Restaurant-Restaurant
07/25/2025,UBER  EATS 8005928996,31.0,UBER  EATS 8005928996,UBER  EATS 8005928996,"DENVER, CO",US,Restaurant-Restaurant
07/26/2025,MOZART'S COFFEE ROASTER,34.15,MOZART'S COFFEE ROASTER,MOZART'S COFFEE ROASTER,"AUSTIN, TX",US,Restaurant-Restaurant
07/26/2025,SHELL SERVICE STATION AUSTIN TX,56.58,SHELL SERVICE STATION AUSTIN TX,SHELL SERVICE STATION AUSTIN TX,"AUSTIN, TX",US,Travel-Fuel
07/28/2025,UBER *TRIP HELP.UBER.COM,26.96,UBER *TRIP HELP.UBER.COM,UBER *TRIP HELP.UBER.COM,"AUSTIN, TX",US,Transportation-Taxis & Coach
07/28/2025,CVS PHARM #04471 AUSTIN TX,39.15,CVS PHARM #04471 AUSTIN TX,CVS PHARM #04471 AUSTIN TX,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
07/31/2025,WHOLE FOODS MKT #10120,96.22,WHOLE FOODS MKT #10120,WHOLE FOODS MKT #10120,"DENVER, CO",US,Merchandise & Supplies-Wholesale Stores
08/04/2025,COSTCO WHSE #1147,158.26,COSTCO WHSE #1147,COSTCO WHSE #1147,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
08/10/2025,DOORDASH*CHIPOTLE,21.21,DOORDASH*CHIPOTLE,DOORDASH*CHIPOTLE,"AUSTIN, TX",US,Restaurant-Restaurant
08/11/2025,SPOTIFY USA,11.99,SPOTIFY USA,SPOTIFY USA,"AUSTIN, TX",US,Business Services-Internet Services
08/12/2025,COSTCO WHSE #1147,82.6,COSTCO WHSE #1147,COSTCO WHSE #1147,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
08/12/2025,STARBUCKS STORE #05028,7.1,STARBUCKS STORE #05028,STARBUCKS STORE #05028,"AUSTIN, TX",US,Restaurant-Restaurant
08/17/2025,COSTCO WHSE #1147,180.62,COSTCO WHSE #1147,COSTCO WHSE #1147,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
08/19/2025,ONLINE PAYMENT - THANK YOU,-1661.93,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,Fees & Adjustments-Payments and Credits
08/20/2025,STARBUCKS STORE #05028,4.59,STARBUCKS STORE #05028,STARBUCKS STORE #05028,"AUSTIN, TX",US,Restaurant-Restaurant
08/20/2025,UBER *EATS HELP.UBER.COM,39.09,UBER *EATS HELP.UBER.COM,UBER *EATS HELP.UBER.COM,"AUSTIN, TX",US,Restaurant-Restaurant
08/21/2025,SHELL OIL 57443982,28.1,SHELL OIL 57443982,SHELL OIL 57443982,"AUSTIN, TX",US,Travel-Fuel
08/22/2025,STARBUCKS 800-782-7282 WA,10.53,STARBUCKS 800-782-7282 WA,STARBUCKS 800-782-7282 WA,"AUSTIN, TX",US,Restaurant-Restaurant
08/26/2025,COSTCO WHSE #1147,199.9,COSTCO WHSE #1147,COSTCO WHSE #1147,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
08/28/2025,UBER *EATS HELP.UBER.COM,45.67,UBER *EATS HELP.UBER.COM,UBER *EATS HELP.UBER.COM,"DENVER, CO",US,Restaurant-Restaurant
08/31/2025,UBER TRIP 8005928996,10.75,UBER TRIP 8005928996,UBER TRIP 8005928996,"AUSTIN, TX",US,Transportation-Taxis & Coach
09/01/2025,COSTCO WHSE #1147,98.52,COSTCO WHSE #1147,COSTCO WHSE #1147,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
09/09/2025,WHOLEFDS AUS 10120,27.99,WHOLEFDS AUS 10120,WHOLEFDS AUS 10120,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
09/11/2025,SPOTIFY USA,11.99,SPOTIFY USA,SPOTIFY USA,"AUSTIN, TX",US,Business Services-Internet Services
09/12/2025,SHELL OIL 57443982,29.13,SHELL OIL 57443982,SHELL OIL 57443982,"AUSTIN, TX",US,Travel-Fuel
09/12/2025,UBER TRIP 8005928996,23.7,UBER TRIP 8005928996,UBER TRIP 8005928996,"AUSTIN, TX",US,Transportation-Taxis & Coach
09/13/2025,STARBUCKS 800-782-7282 WA,5.94,STARBUCKS 800-782-7282 WA,STARBUCKS 800-782-7282 WA,"AUSTIN, TX",US,Restaurant-Restaurant
09/16/2025,SQ *STARBUCKS,7.03,SQ *STARBUCKS,SQ *STARBUCKS,"AUSTIN, TX",US,Restaurant-Restaurant
09/17/2025,DD *WINGSTOP,16.75,DD *WINGSTOP,DD *WINGSTOP,"AUSTIN, TX",US,Restaurant-Restaurant
09/18/2025,UBER  EATS 8005928996,47.48,UBER  EATS 8005928996,UBER  EATS 8005928996,"AUSTIN, TX",US,Restaurant-Restaurant
09/18/2025,UBER *EATS HELP.UBER.COM,39.77,UBER *EATS HELP.UBER.COM,UBER *EATS HELP.UBER.COM,"AUSTIN, TX",US,Restaurant-Restaurant
09/19/2025,ONLINE PAYMENT - THANK YOU,-1640.83,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,Fees & Adjustments-Payments and Credits
09/20/2025,AMAZON.COM*2A61VRK0,132.09,AMAZON.COM*2A61VRK0,AMAZON.COM*2A61VRK0,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
09/21/2025,UBER *TRIP HELP.UBER.COM,22.28,UBER *TRIP HELP.UBER.COM,UBER *TRIP HELP.UBER.COM,"AUSTIN, TX",US,Transportation-Taxis & Coach
09/22/2025,DOORDASH*CHIPOTLE,28.48,DOORDASH*CHIPOTLE,DOORDASH*CHIPOTLE,"AUSTIN, TX",US,Restaurant-Restaurant
09/24/2025,MARRIOTT DENVER CO,266.06,MARRIOTT DENVER CO,MARRIOTT DENVER CO,"AUSTIN, TX",US,Travel-Lodging
09/26/2025,SHELL OIL 57443982,48.86,SHELL OIL 57443982,SHELL OIL 57443982,"AUSTIN, TX",US,Travel-Fuel
10/04/2025,STARBUCKS STORE #05028,8.99,STARBUCKS STORE #05028,STARBUCKS STORE #05028,"AUSTIN, TX",US,Restaurant-Restaurant
10/08/2025,DD *WINGSTOP,22.13,DD *WINGSTOP,DD *WINGSTOP,"DENVER, CO",US,Restaurant-Restaurant
10/10/2025,AMZN Mktp US*2KSK1BMD,117.45,AMZN Mktp US*2KSK1BMD,AMZN Mktp US*2KSK1BMD,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
10/10/2025,STARBUCKS STORE #05028,12.23,STARBUCKS STORE #05028,STARBUCKS STORE #05028,"AUSTIN, TX",US,Restaurant-Restaurant
10/11/2025,WHOLE FOODS MKT #10120,135.04,WHOLE FOODS MKT #10120,WHOLE FOODS MKT #10120,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
10/11/2025,SPOTIFY P0A1B2C3,11.99,SPOTIFY P0A1B2C3,SPOTIFY P0A1B2C3,"AUSTIN, TX",US,Business Services-Internet Services
10/12/2025,STARBUCKS 800-782-7282 WA,12.04,STARBUCKS 800-782-7282 WA,STARBUCKS 800-782-7282 WA,"AUSTIN, TX",US,Restaurant-Restaurant
10/17/2025,COSTCO WHOLESALE #1147 AUSTIN TX,199.51,COSTCO WHOLESALE #1147 AUSTIN TX,COSTCO WHOLESALE #1147 AUSTIN TX,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
10/17/2025,UBER *TRIP HELP.UBER.COM,24.44,UBER *TRIP HELP.UBER.COM,UBER *TRIP HELP.UBER.COM,"AUSTIN, TX",US,Transportation-Taxis & Coach
10/18/2025,CVS/PHARMACY #4471,45.43,CVS/PHARMACY #4471,CVS/PHARMACY #4471,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
10/19/2025,ONLINE PAYMENT - THANK YOU,-1557.62,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,Fees & Adjustments-Payments and Credits
10/20/2025,CVS/PHARMACY #4471,26.59,CVS/PHARMACY #4471,CVS/PHARMACY #4471,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
10/21/2025,DOORDASH*PANDA EXPRESS,36.21,DOORDASH*PANDA EXPRESS,DOORDASH*PANDA EXPRESS,"AUSTIN, TX",US,Restaurant-Restaurant
10/25/2025,STARBUCKS STORE #05028,9.43,STARBUCKS STORE #05028,STARBUCKS STORE #05028,"AUSTIN, TX",US,Restaurant-Restaurant
10/30/2025,SQ *JOE'S DINER AUSTIN TX,13.57,SQ *JOE'S DINER AUSTIN TX,SQ *JOE'S DINER AUSTIN TX,"AUSTIN, TX",US,Restaurant-Restaurant
11/01/2025,SQ *STARBUCKS,11.61,SQ *STARBUCKS,SQ *STARBUCKS,"AUSTIN, TX",US,Restaurant-Restaurant
11/01/2025,UBER *TRIP HELP.UBER.COM,21.77,UBER *TRIP HELP.UBER.COM,UBER *TRIP HELP.UBER.COM,"AUSTIN, TX",US,Transportation-Taxis & Coach
11/04/2025,COSTCO WHSE #1147,126.37,COSTCO WHSE #1147,COSTCO WHSE #1147,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
11/09/2025,CVS PHARM #04471 AUSTIN TX,17.05,CVS PHARM #04471 AUSTIN TX,CVS PHARM #04471 AUSTIN TX,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
11/10/2025,MOZART'S COFFEE ROASTER,21.24,MOZART'S COFFEE ROASTER,MOZART'S COFFEE ROASTER,"AUSTIN, TX",US,Restaurant-Restaurant
11/11/2025,SPOTIFY USA,11.99,SPOTIFY USA,SPOTIFY USA,"AUSTIN, TX",US,Business Services-Internet Services
11/15/2025,SQ *STARBUCKS,5.3,SQ *STARBUCKS,SQ *STARBUCKS,"AUSTIN, TX",US,Restaurant-Restaurant
11/17/2025,DOORDASH*PANDA EXPRESS,43.16,DOORDASH*PANDA EXPRESS,DOORDASH*PANDA EXPRESS,"AUSTIN, TX",US,Restaurant-Restaurant
11/19/2025,ONLINE PAYMENT - THANK YOU,-1458.12,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,Fees & Adjustments-Payments and Credits
11/20/2025,UBER *EATS HELP.UBER.COM,26.55,UBER *EATS HELP.UBER.COM,UBER *EATS HELP.UBER.COM,"AUSTIN, TX",US,Restaurant-Restaurant
11/20/2025,UBER TRIP 8005928996,25.26,UBER TRIP 8005928996,UBER TRIP 8005928996,"AUSTIN, TX",US,Transportation-Taxis & Coach
11/24/2025,COSTCO WHOLESALE #1147 AUSTIN TX,174.25,COSTCO WHOLESALE #1147 AUSTIN TX,COSTCO WHOLESALE #1147 AUSTIN TX,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
11/25/2025,AMAZON.COM*2AGP1UEQ,147.08,AMAZON.COM*2AGP1UEQ,AMAZON.COM*2AGP1UEQ,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
11/29/2025,STARBUCKS STORE #05028,8.44,STARBUCKS STORE #05028,STARBUCKS STORE #05028,"AUSTIN, TX",US,Restaurant-Restaurant
11/30/2025,SQ *STARBUCKS,6.74,SQ *STARBUCKS,SQ *STARBUCKS,"AUSTIN, TX",US,Restaurant-Restaurant
12/07/2025,UBER *EATS HELP.UBER.COM,40.04,UBER *EATS HELP.UBER.COM,UBER *EATS HELP.UBER.COM,"AUSTIN, TX",US,Restaurant-Restaurant
12/08/2025,SHELL OIL 57443982,49.14,SHELL OIL 57443982,SHELL OIL 57443982,"AUSTIN, TX",US,Travel-Fuel
12/10/2025,UBER TRIP 8005928996,12.63,UBER TRIP 8005928996,UBER TRIP 8005928996,"AUSTIN, TX",US,Transportation-Taxis & Coach
12/11/2025,SPOTIFY P0A1B2C3,11.99,SPOTIFY P0A1B2C3,SPOTIFY P0A1B2C3,"AUSTIN, TX",US,Business Services-Internet Services
12/12/2025,STARBUCKS STORE #05028,6.38,STARBUCKS STORE #05028,STARBUCKS STORE #05028,"AUSTIN, TX",US,Restaurant-Restaurant
12/19/2025,LATE FEE,39.0,LATE FEE,LATE FEE,,,Fees & Adjustments
12/19/2025,UBER *TRIP HELP.UBER.COM,12.76,UBER *TRIP HELP.UBER.COM,UBER *TRIP HELP.UBER.COM,"AUSTIN, TX",US,Transportation-Taxis & Coach
12/24/2025,ONLINE PAYMENT - THANK YOU,-1159.6,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,Fees & Adjustments-Payments and Credits
12/26/2025,STARBUCKS STORE #05028,11.55,STARBUCKS STORE #05028,STARBUCKS STORE #05028,"AUSTIN, TX",US,Restaurant-Restaurant
12/26/2025,AMZN Mktp US*2K920PHW,25.67,AMZN Mktp US*2K920PHW,AMZN Mktp US*2K920PHW,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
12/26/2025,COSTCO WHSE #1147,97.25,COSTCO WHSE #1147,COSTCO WHSE #1147,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
12/26/2025,UBER  EATS 8005928996,15.22,UBER  EATS 8005928996,UBER  EATS 8005928996,"AUSTIN, TX",US,Restaurant-Restaurant
12/27/2025,DD *WINGSTOP,46.76,DD *WINGSTOP,DD *WINGSTOP,"AUSTIN, TX",US,Restaurant-Restaurant
12/29/2025,SQ *JOE'S DINER AUSTIN TX,29.72,SQ *JOE'S DINER AUSTIN TX,SQ *JOE'S DINER AUSTIN TX,"AUSTIN, TX",US,Restaurant-Restaurant
