Description:,BANK OF AMERICA CHECKING ACCOUNT EXPORT
Generated:,07/15/2026
,,,
Date,Description,Amount,Running Bal.
05/24/2026,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2508.39,60096.48
05/27/2026,ONLINE BANKING PAYMENT TO APPLE CARD GS BANK PAYMENT,-304.18,59792.3
06/01/2026,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1595.44,58196.86
06/02/2026,ZELLE PAYMENT TO ROOMMATE SPLIT,-136.58,58060.28
06/03/2026,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-3164.38,54895.9
06/07/2026,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2636.78,57532.68
06/15/2026,ONLINE BANKING PAYMENT TO CHASE CREDIT CRD EPAY,-1079.95,56452.73
06/18/2026,ONLINE BANKING PAYMENT TO AMERICAN EXPRESS ACH PMT,-1066.43,55386.3
06/21/2026,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2612.91,57999.21
06/27/2026,ONLINE BANKING PAYMENT TO APPLE CARD GS BANK PAYMENT,-949.12,57050.09
07/01/2026,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1589.3,55460.79
07/03/2026,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-364.79,55096.0
07/05/2026,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2544.7,57640.7
07/15/2026,ONLINE BANKING PAYMENT TO CHASE CREDIT CRD EPAY,-1354.09,56286.61
